Log GDP per capita,Healthy life expectancy at birth,Freedom to make life choices,Social support,year
7.35,50.5,0.718,0.451,2008
7.509,50.8,0.679,0.552,2009
7.614,51.1,0.6,0.539,2010
7.581,51.4,0.496,0.521,2011
7.661,51.7,0.531,0.521,2012
7.68,52.0,0.578,0.484,2013
7.671,52.3,0.509,0.526,2014
7.654,52.6,0.389,0.529,2015
7.65,52.925,0.523,0.559,2016
7.648,53.25,0.427,0.491,2017
7.631,53.575,0.374,0.508,2018
7.64,53.9,0.394,0.42,2019
7.324,54.55,0.394,0.454,2021
7.61175,54.875,0.368,0.228,2022
9.122,66.76,0.529,0.821,2007
9.241,67.32,0.525,0.833,2009
9.283,67.6,0.569,0.733,2010
9.311,67.88,0.487,0.759,2011
9.326,68.16,0.602,0.785,2012
9.338,68.44,0.632,0.759,2013
9.358,68.72,0.735,0.626,2014
9.383,69.0,0.704,0.639,2015
9.417,69.025,0.73,0.638,2016
9.455,69.05,0.75,0.638,2017
9.497,69.075,0.824,0.684,2018
9.522,69.1,0.777,0.686,2019
9.492,69.125,0.754,0.71,2020
9.583,69.15,0.827,0.702,2021
9.626,69.175,0.802,0.724,2022
9.306,65.5,0.593,0.8405,2010
9.316,65.6,0.53,0.81,2011
9.33,65.7,0.587,0.839,2012
9.355,65.9,0.85725,0.818,2014
9.383,66.1,0.542,0.749,2016
9.377,66.2,0.437,0.807,2017
9.37,66.3,0.583,0.799,2018
9.361,66.4,0.385,0.803,2019
9.291,66.5,0.574,0.868,2020
9.309,66.6,0.558,0.841,2021
8.944,51.22,0.584,0.723,2011
8.989,51.84,0.456,0.753,2012
9.0,52.46,0.41,0.722,2013
9.01,53.08,0.375,0.755,2014
9.937,65.82,0.733,0.938,2006
10.013,65.94,0.653,0.862,2007
10.043,66.06,0.678,0.892,2008
9.972,66.18,0.637,0.919,2009
10.066,66.3,0.73,0.927,2010
10.112,66.42,0.816,0.889,2011
10.091,66.54,0.747,0.902,2012
10.103,66.66,0.737,0.91,2013
10.067,66.78,0.745,0.918,2014
10.083,66.9,0.881,0.926,2015
10.051,66.95,0.848,0.883,2016
10.069,67.0,0.832,0.907,2017
10.032,67.05,0.846,0.9,2018
10.002,67.1,0.817,0.896,2019
9.888,67.15,0.823,0.897,2020
9.977,67.2,0.819,0.882,2021
10.011,67.25,0.825,0.893,2022
9.021,63.84,0.52,0.682,2006
9.157,64.08,0.605,0.76,2007
9.23,64.32,0.462,0.709,2008
9.085,64.56,0.441,0.68,2009
9.113,64.8,0.459,0.66,2010
9.164,65.04,0.465,0.705,2011
9.239,65.28,0.502,0.676,2012
9.276,65.52,0.504,0.723,2013
9.315,65.76,0.506,0.739,2014
9.351,66.0,0.551,0.723,2015
9.357,66.275,0.611,0.709,2016
9.434,66.55,0.614,0.698,2017
9.49,66.825,0.808,0.814,2018
9.569,67.1,0.844,0.782,2019
9.561,67.65,0.795,0.762,2021
9.668,67.925,0.79,0.811,2022
10.694,69.96,0.891,0.965,2007
10.709,70.04,0.916,0.947,2008
10.714,70.2,0.932,0.955,2010
10.723,70.28,0.945,0.967,2011
10.744,70.36,0.935,0.945,2012
10.752,70.44,0.933,0.928,2013
10.763,70.52,0.923,0.924,2014
10.77,70.6,0.922,0.952,2015
10.781,70.675,0.922,0.942,2016
10.787,70.75,0.911,0.95,2017
10.801,70.825,0.916,0.94,2018
10.807,70.9,0.918,0.943,2019
10.794,70.975,0.905,0.937,2020
10.815,71.05,0.912,0.92,2021
10.854,71.125,0.854,0.942,2022
10.836,69.5,0.941,0.936,2006
10.881,69.7,0.879,0.935,2008
10.856,69.9,0.896,0.914,2010
10.881,70.0,0.939,0.944,2011
10.884,70.1,0.92,0.945,2012
10.878,70.2,0.922,0.95,2013
10.877,70.3,0.885,0.899,2014
10.876,70.4,0.9,0.928,2015
10.885,70.525,0.889,0.926,2016
10.9,70.65,0.89,0.906,2017
10.919,70.775,0.904,0.912,2018
10.93,70.9,0.903,0.964,2019
10.859,71.025,0.912,0.925,2020
10.899,71.15,0.795,0.863,2021
10.939,71.275,0.856,0.876,2022
9.154,60.58,0.772,0.854,2006
9.366,60.86,0.522,0.753,2007
9.447,61.14,0.601,0.684,2008
9.515,61.42,0.498,0.736,2009
9.553,61.7,0.501,0.687,2010
9.541,61.98,0.537,0.725,2011
9.549,62.26,0.599,0.762,2012
9.592,62.54,0.672,0.77,2013
9.607,62.82,0.733,0.799,2014
9.606,63.1,0.764,0.786,2015
9.563,63.225,0.713,0.777,2016
9.555,63.35,0.731,0.787,2017
9.562,63.475,0.772,0.781,2018
9.578,63.6,0.854,0.887,2019
10.714,64.76,0.896,0.904,2009
10.728,65.0,0.862,0.877,2010
10.749,65.24,0.87,0.908,2011
10.775,65.48,0.682,0.911,2012
10.798,65.72,0.809,0.884,2013
10.802,65.96,0.85,0.853,2014
10.788,66.2,0.85,0.853,2015
10.789,66.125,0.889,0.863,2016
10.798,66.05,0.906,0.876,2017
10.815,65.9,0.907,0.878,2019
10.776,65.825,0.945,0.848,2020
7.94,59.12,0.612,0.672,2006
7.997,59.64,0.605,0.514,2007
8.047,60.16,0.606,0.467,2008
8.087,60.68,0.631,0.528,2009
8.13,61.2,0.659,0.549,2010
8.181,61.72,0.838,0.606,2011
8.231,62.24,0.668,0.582,2012
8.277,62.76,0.742,0.53,2013
8.323,63.28,0.736,0.577,2014
8.375,63.8,0.815,0.601,2015
8.431,63.925,0.875,0.649,2016
8.483,64.05,0.896,0.713,2017
8.542,64.175,0.901,0.706,2018
8.607,64.3,0.902,0.673,2019
8.629,64.425,0.777,0.739,2020
8.685,64.55,0.893,0.485,2021
8.743,64.675,0.865,0.404,2022
9.489,60.06,0.707,0.918,2006
9.576,60.62,0.667,0.858,2007
9.677,61.18,0.64,0.904,2008
9.681,61.74,0.679,0.908,2009
9.759,62.3,0.7,0.918,2010
9.813,62.86,0.656,0.91,2011
9.832,63.42,0.645,0.902,2012
9.842,63.98,0.723,0.923,2013
9.858,64.54,0.647,0.88,2014
9.818,65.1,0.623,0.924,2015
9.792,65.325,0.658,0.927,2016
9.818,65.55,0.621,0.9,2017
9.851,65.775,0.644,0.905,2018
9.867,66.0,0.657,0.917,2019
10.791,68.72,0.901,0.922,2007
10.788,68.88,0.887,0.923,2008
10.778,69.2,0.807,0.931,2010
10.782,69.36,0.88,0.937,2011
10.783,69.52,0.855,0.927,2012
10.783,69.68,0.891,0.909,2013
10.794,69.84,0.861,0.944,2014
10.809,70.0,0.869,0.885,2015
10.816,70.15,0.866,0.929,2016
10.829,70.3,0.857,0.922,2017
10.842,70.45,0.808,0.93,2018
10.859,70.6,0.776,0.884,2019
10.799,70.75,0.767,0.904,2020
10.854,70.9,0.823,0.915,2021
10.878,71.05,0.89,0.923,2022
9.192,64.3,0.705,0.872,2007
9.135,65.0,0.874,0.757,2014
7.844,51.96,0.58,0.445,2006
7.891,52.48,0.709,0.382,2008
7.876,53.26,0.773,0.477,2011
7.894,53.52,0.769,0.523,2012
7.935,53.78,0.783,0.577,2013
7.967,54.04,0.776,0.506,2014
7.955,54.3,0.733,0.434,2015
7.958,54.6,0.78,0.493,2016
7.984,54.9,0.727,0.436,2017
8.02,55.2,0.713,0.504,2018
8.057,55.5,0.77,0.442,2019
8.067,55.8,0.783,0.507,2020
8.108,56.1,0.724,0.436,2021
8.137,56.4,0.714,0.366,2022
9.097,62.24,0.81,0.819,2013
9.143,62.42,0.834,0.88,2014
9.198,62.6,0.83,0.848,2015
8.671,60.9,0.77,0.834,2006
8.698,61.1,0.78,0.796,2007
8.74,61.3,0.726,0.785,2008
8.756,61.5,0.779,0.831,2009
8.78,61.7,0.703,0.807,2010
8.813,61.9,0.782,0.817,2011
8.847,62.1,0.862,0.781,2012
8.896,62.3,0.846,0.803,2013
8.933,62.5,0.881,0.821,2014
8.965,62.7,0.884,0.829,2015
8.991,62.85,0.882,0.796,2016
9.017,63.0,0.884,0.779,2017
9.044,63.15,0.863,0.827,2018
9.051,63.3,0.881,0.784,2019
8.946,63.45,0.877,0.805,2020
8.994,63.6,0.862,0.798,2021
9.014,63.75,0.865,0.824,2022
9.191,67.0,0.342,0.766,2007
9.246,67.0,0.258,0.735,2009
9.272,67.0,0.365,0.773,2010
9.3,67.0,0.333,0.725,2011
9.31,67.0,0.42,0.779,2012
9.349,67.0,0.39,0.767,2013
9.373,67.0,0.412,0.788,2014
9.417,67.0,0.631,0.656,2015
9.46,67.05,0.633,0.808,2016
9.503,67.1,0.564,0.775,2017
9.552,67.15,0.659,0.836,2018
9.591,67.2,0.722,0.873,2019
9.572,67.25,0.74,0.899,2020
9.659,67.3,0.759,0.86,2021
9.495,48.84,0.824,0.883,2006
9.543,49.72,0.858,0.832,2008
9.446,50.6,0.826,0.866,2010
9.492,51.04,0.813,0.86,2011
9.471,51.48,0.799,0.837,2012
9.557,51.92,0.767,0.856,2013
9.593,52.36,0.791,0.859,2014
9.524,52.8,0.857,0.816,2015
9.573,53.075,0.852,0.768,2016
9.593,53.35,0.817,0.768,2017
9.613,53.625,0.818,0.795,2018
9.624,53.9,0.833,0.774,2019
9.629,54.725,0.739,0.75,2022
9.512,63.42,0.777,0.886,2007
9.552,63.58,0.782,0.878,2008
9.541,63.74,0.767,0.913,2009
9.604,63.9,0.806,0.906,2010
9.634,64.06,0.834,0.916,2011
9.644,64.22,0.849,0.89,2012
9.665,64.38,0.785,0.91,2013
9.661,64.54,0.714,0.898,2014
9.617,64.7,0.799,0.907,2015
9.575,64.875,0.807,0.912,2016
9.58,65.05,0.765,0.905,2017
9.59,65.225,0.751,0.882,2018
9.595,65.4,0.83,0.899,2019
9.548,65.575,0.786,0.831,2020
9.588,65.75,0.792,0.814,2021
9.611,65.925,0.83,0.866,2022
9.746,64.78,0.566,0.832,2007
9.807,65.2,0.545,0.843,2010
9.834,65.34,0.664,0.86,2011
9.848,65.48,0.641,0.838,2012
9.848,65.62,0.603,0.829,2013
9.863,65.76,0.576,0.886,2014
9.903,65.9,0.637,0.908,2015
9.94,66.0,0.7,0.926,2016
9.975,66.1,0.689,0.942,2017
10.008,66.2,0.724,0.924,2018
10.055,66.3,0.822,0.948,2019
10.021,66.4,0.818,0.916,2020
10.102,66.5,0.841,0.884,2021
10.138,66.6,0.741,0.953,2022
7.327,49.44,0.588,0.796,2006
7.337,49.88,0.582,0.771,2007
7.364,50.32,0.612,0.727,2008
7.416,51.2,0.587,0.773,2010
7.45,51.64,0.725,0.71,2011
7.482,52.08,0.622,0.744,2012
7.509,52.52,0.741,0.745,2013
7.521,52.96,0.71,0.742,2014
7.53,53.4,0.659,0.705,2015
7.558,53.775,0.645,0.764,2016
7.59,54.15,0.614,0.785,2017
7.626,54.525,0.721,0.665,2018
7.654,54.9,0.678,0.683,2019
7.647,55.275,0.75,0.668,2020
7.687,55.65,0.644,0.658,2021
6.7,49.66,0.26,0.291,2008
6.687,50.28,0.427,0.326,2009
6.694,51.52,0.49,0.422,2011
6.723,53.38,0.431,0.565,2014
6.607,55.2,0.646,0.485,2018
7.746,57.64,0.937,0.793,2006
7.826,57.98,0.819,0.675,2007
7.874,58.32,0.914,0.619,2008
7.86,58.66,0.937,0.818,2009
7.904,59.0,0.94,0.697,2010
7.957,59.34,0.927,0.716,2011
8.013,59.68,0.956,0.606,2012
8.07,60.02,0.941,0.651,2013
8.125,60.36,0.938,0.693,2014
8.179,60.7,0.956,0.729,2015
8.233,60.9,0.958,0.746,2016
8.287,61.1,0.964,0.765,2017
8.347,61.3,0.958,0.795,2018
8.404,61.5,0.957,0.759,2019
8.361,61.7,0.963,0.724,2020
8.379,61.9,0.965,0.713,2021
8.415,62.1,0.946,0.784,2022
8.09,47.84,0.653,0.69,2006
8.104,48.28,0.644,0.717,2007
8.104,48.72,0.58,0.697,2008
8.101,49.16,0.698,0.729,2009
8.101,49.6,0.792,0.759,2010
8.106,50.04,0.817,0.738,2011
8.123,50.48,0.766,0.743,2012
8.144,50.92,0.794,0.76,2013
8.169,51.36,0.795,0.778,2014
8.193,51.8,0.791,0.646,2015
8.207,52.475,0.713,0.659,2016
8.214,53.15,0.767,0.695,2017
8.225,53.825,0.816,0.677,2018
8.231,54.5,0.712,0.711,2019
8.207,55.175,0.675,0.72,2020
8.216,55.85,0.715,0.695,2021
8.227,56.525,0.675,0.629,2022
10.734,70.62,0.93,0.922,2007
10.733,70.68,0.926,0.939,2008
10.692,70.74,0.915,0.943,2009
10.711,70.8,0.934,0.954,2010
10.733,70.86,0.951,0.922,2011
10.739,70.92,0.918,0.948,2012
10.752,70.98,0.916,0.936,2013
10.77,71.04,0.939,0.918,2014
10.769,71.1,0.931,0.939,2015
10.768,71.15,0.912,0.924,2016
10.786,71.2,0.945,0.934,2017
10.799,71.25,0.946,0.923,2018
10.803,71.3,0.912,0.925,2019
10.738,71.35,0.887,0.931,2020
10.777,71.4,0.898,0.926,2021
10.803,71.45,0.838,0.929,2022
6.946,41.48,0.663,0.532,2007
7.031,42.5,0.69,0.483,2010
7.057,42.84,0.78,0.387,2011
6.707,44.75,0.624,0.29,2016
6.733,45.3,0.645,0.32,2017
7.369,47.08,0.306,0.724,2006
7.368,47.46,0.295,0.479,2007
7.363,47.84,0.527,0.571,2008
7.369,48.22,0.401,0.646,2009
7.462,48.6,0.505,0.734,2010
7.428,48.98,0.54,0.819,2011
7.478,49.36,0.563,0.673,2012
7.498,49.74,0.488,0.714,2013
7.529,50.12,0.567,0.733,2014
7.525,50.5,0.474,0.751,2015
7.429,50.875,0.525,0.616,2016
7.365,51.25,0.615,0.661,2017
7.355,51.625,0.65,0.577,2018
7.354,52.0,0.537,0.64,2019
7.261,53.125,0.679,0.72,2022
9.87,67.78,0.744,0.836,2006
9.91,67.96,0.662,0.815,2007
9.938,68.14,0.64,0.804,2008
9.916,68.32,0.747,0.832,2009
9.963,68.5,0.786,0.857,2010
10.013,68.68,0.701,0.819,2011
10.063,68.86,0.734,0.855,2012
10.086,69.04,0.737,0.862,2013
10.094,69.22,0.733,0.862,2014
10.105,69.4,0.769,0.827,2015
10.11,69.55,0.652,0.841,2016
10.108,69.7,0.79,0.88,2017
10.13,69.85,0.789,0.89,2018
10.119,70.0,0.659,0.869,2019
10.044,70.15,0.781,0.888,2020
10.144,70.3,0.803,0.891,2021
10.154,70.45,0.793,0.887,2022
8.696,65.66,0.805,0.747,2006
8.824,65.92,0.824,0.811,2007
8.911,66.18,0.853,0.748,2008
8.996,66.44,0.771,0.798,2009
9.092,66.7,0.805,0.768,2010
9.178,66.96,0.824,0.787,2011
9.247,67.22,0.808,0.788,2012
9.315,67.48,0.805,0.778,2013
9.38,67.74,0.895,0.82,2014
9.442,68.0,0.927,0.794,2015
9.503,68.125,0.891,0.742,2016
9.564,68.25,0.878,0.772,2017
9.625,68.375,0.895,0.788,2018
9.679,68.5,0.927,0.822,2019
9.699,68.625,0.891,0.808,2020
9.776,68.75,0.875,0.856,2021
9.277,66.32,0.805,0.91,2006
9.33,66.54,0.786,0.894,2007
9.351,66.76,0.795,0.88,2008
9.351,66.98,0.757,0.886,2009
9.383,67.2,0.816,0.893,2010
9.44,67.42,0.811,0.904,2011
9.468,67.64,0.828,0.914,2012
9.508,67.86,0.841,0.901,2013
9.542,68.08,0.801,0.907,2014
9.562,68.3,0.791,0.89,2015
9.572,68.475,0.835,0.882,2016
9.57,68.65,0.838,0.909,2017
9.577,68.825,0.851,0.871,2018
9.59,69.0,0.822,0.873,2019
9.502,69.175,0.84,0.797,2020
9.592,69.35,0.775,0.793,2021
9.66,69.525,0.799,0.877,2022
7.999,56.76,0.508,0.629,2009
8.015,57.0,0.529,0.721,2010
8.034,57.24,0.5,0.722,2011
8.044,57.48,0.534,0.719,2012
8.1,58.725,0.56,0.621,2018
8.099,58.9,0.538,0.632,2019
8.075,59.425,0.481,0.472,2022
8.39,52.24,0.526,0.555,2008
8.502,53.38,0.745,0.637,2011
8.569,53.76,0.773,0.622,2012
8.538,54.14,0.726,0.68,2013
8.579,54.52,0.662,0.686,2014
8.519,54.9,0.85,0.642,2015
8.381,55.225,0.786,0.615,2016
8.312,55.55,0.778,0.655,2017
8.239,55.875,0.699,0.621,2018
8.215,56.2,0.686,0.625,2019
8.127,56.525,0.761,0.597,2020
8.082,56.85,0.738,0.568,2021
8.077,57.175,0.698,0.646,2022
6.699,49.4,0.556,0.733,2009
6.769,50.4,0.631,0.744,2011
6.803,50.9,0.557,0.77,2012
6.851,51.4,0.48,0.83,2013
6.907,51.9,0.556,0.822,2014
6.94,52.4,0.574,0.767,2015
6.929,52.825,0.637,0.864,2016
6.931,53.25,0.704,0.67,2017
7.007,55.375,0.664,0.654,2022
9.607,68.56,0.882,0.937,2006
9.672,68.72,0.923,0.918,2007
9.704,68.88,0.912,0.916,2008
9.682,69.04,0.886,0.9,2009
9.721,69.2,0.881,0.915,2010
9.752,69.36,0.926,0.892,2011
9.788,69.52,0.929,0.902,2012
9.801,69.68,0.898,0.902,2013
9.824,69.84,0.927,0.914,2014
9.85,70.0,0.907,0.878,2015
9.881,70.0,0.873,0.901,2016
9.912,70.0,0.936,0.922,2017
9.928,70.0,0.942,0.876,2018
9.944,70.0,0.927,0.906,2019
9.895,70.0,0.889,0.834,2020
9.962,70.0,0.887,0.876,2021
9.998,70.0,0.91,0.902,2022
10.174,66.94,0.662,0.91,2007
10.12,67.18,0.549,0.861,2009
10.11,67.3,0.564,0.796,2010
10.113,67.42,0.517,0.79,2011
10.092,67.54,0.542,0.776,2012
10.091,67.66,0.627,0.751,2013
10.091,67.78,0.519,0.646,2014
10.124,67.9,0.694,0.768,2015
10.166,68.075,0.672,0.798,2016
10.211,68.25,0.716,0.77,2017
10.248,68.425,0.691,0.91,2018
10.287,68.6,0.739,0.936,2019
10.202,68.775,0.837,0.923,2020
10.362,68.95,0.842,0.918,2021
10.458,69.125,0.593,0.91,2022
10.535,68.0,0.281,0.97,2006
10.568,70.16,0.836,0.878,2006
10.56,70.64,0.775,0.812,2009
10.556,70.8,0.755,0.822,2010
10.535,70.96,0.745,0.844,2011
10.484,71.12,0.725,0.767,2012
10.418,71.28,0.656,0.744,2013
10.412,71.44,0.715,0.77,2014
10.451,71.6,0.628,0.77,2015
10.51,71.8,0.756,0.786,2016
10.556,72.0,0.812,0.819,2017
10.599,72.2,0.794,0.826,2018
10.639,72.4,0.74,0.776,2019
10.583,72.6,0.763,0.806,2020
10.638,72.8,0.718,0.855,2021
10.425,73.0,0.698,0.82,2022
10.433,67.34,0.799,0.9,2007
10.419,67.7,0.779,0.934,2010
10.434,67.82,0.787,0.914,2011
10.425,67.94,0.74,0.912,2012
10.424,68.06,0.726,0.888,2013
10.445,68.18,0.8,0.878,2014
10.496,68.3,0.808,0.911,2015
10.519,68.425,0.85,0.931,2016
10.567,68.55,0.832,0.901,2017
10.595,68.675,0.79,0.929,2018
10.562,68.925,0.906,0.964,2020
10.615,69.05,0.891,0.95,2021
10.656,69.175,0.908,0.944,2022
10.889,68.74,0.932,0.954,2007
10.878,68.96,0.97,0.954,2008
10.822,69.18,0.949,0.939,2009
10.836,69.4,0.944,0.975,2010
10.845,69.62,0.935,0.962,2011
10.844,69.84,0.933,0.951,2012
10.849,70.06,0.92,0.965,2013
10.86,70.28,0.942,0.956,2014
10.876,70.5,0.941,0.96,2015
10.9,70.625,0.948,0.954,2016
10.922,70.75,0.955,0.952,2017
10.936,70.875,0.935,0.958,2018
10.948,71.0,0.963,0.958,2019
10.924,71.125,0.938,0.947,2020
10.968,71.25,0.933,0.945,2021
10.994,71.375,0.93,0.97,2022
8.115,53.64,0.773,0.69,2008
8.014,54.12,0.649,0.901,2009
7.934,54.6,0.764,0.86,2010
8.15,55.08,0.746,0.633,2011
9.306,65.36,0.858,0.919,2006
9.365,65.12,0.886,0.848,2007
9.384,64.88,0.848,0.85,2008
9.381,64.64,0.863,0.878,2009
9.448,64.4,0.824,0.86,2010
9.465,64.16,0.848,0.872,2011
9.479,63.92,0.84,0.879,2012
9.515,63.68,0.889,0.878,2013
9.57,63.44,0.905,0.891,2014
9.625,63.2,0.856,0.893,2015
9.678,63.4,0.873,0.895,2016
9.713,63.6,0.855,0.894,2017
9.769,63.8,0.867,0.862,2018
9.808,64.0,0.877,0.884,2019
9.727,64.2,0.835,0.806,2020
9.832,64.4,0.859,0.857,2021
9.874,64.6,0.853,0.82,2022
9.189,64.44,0.671,0.91,2006
9.194,64.78,0.67,0.839,2007
9.238,65.12,0.64,0.829,2008
